date,nav
2012-12-31,23.992
2013-01-01,23.9979
2013-01-02,24.0036
2013-01-03,24.0092
2013-01-04,24.0147
2013-01-06,24.0258
2013-01-07,24.0314
2013-01-08,24.0369
2013-01-09,24.0424
2013-01-10,24.0479
2013-01-11,24.0534
2013-01-13,24.0643
2013-01-14,24.0698
2013-01-15,24.0754
2013-01-16,24.0809
2013-01-17,24.0863
2013-01-18,24.0918
2013-01-20,24.1028
2013-01-21,24.1084
2013-01-22,24.1139
2013-01-23,24.1194
2013-01-24,24.1249
2013-01-27,24.1413
2013-01-28,24.1468
2013-01-29,24.1522
2013-01-30,24.1577
2013-01-31,24.1631
2013-02-01,24.1686
2013-02-03,24.1795
2013-02-04,24.1849
2013-02-05,24.1903
2013-02-06,24.1959
2013-02-07,24.2013
2013-02-08,24.2067
2013-02-10,24.2174
2013-02-11,24.223
2013-02-12,24.2284
2013-02-13,24.2338
2013-02-14,24.2392
2013-02-15,24.2446
2013-02-17,24.2554
2013-02-18,24.2609
2013-02-19,24.2664
2013-02-20,24.2719
2013-02-21,24.2773
2013-02-22,24.2828
2013-02-24,24.2938
2013-02-25,24.2993
2013-02-26,24.3047
2013-02-27,24.3102
2013-02-28,24.3157
2013-03-01,24.3212
2013-03-03,24.3322
2013-03-04,24.3377
2013-03-05,24.3433
2013-03-06,24.3489
2013-03-07,24.3546
2013-03-08,24.3601
2013-03-10,24.3714
2013-03-11,24.377
2013-03-12,24.3827
2013-03-13,24.3882
2013-03-14,24.3939
2013-03-15,24.3995
2013-03-17,24.4112
2013-03-18,24.4172
2013-03-19,24.423
2013-03-20,24.4287
2013-03-21,24.4344
2013-03-22,24.4402
2013-03-24,24.4518
2013-03-25,24.4577
2013-03-26,24.464
2013-03-27,24.4699
2013-03-28,24.4795
2013-04-01,24.5163
2013-04-02,24.5294
2013-04-03,24.5363
2013-04-04,24.5419
2013-04-05,24.548
2013-04-07,24.559
2013-04-08,24.5645
2013-04-09,24.5702
2013-04-10,24.5758
2013-04-11,24.5815
2013-04-12,24.5872
2013-04-14,24.5986
2013-04-15,24.6045
2013-04-16,24.6103
2013-04-17,24.6161
2013-04-18,24.6219
2013-04-21,24.6392
2013-04-22,24.645
2013-04-23,24.6507
2013-04-24,24.6565
2013-04-25,24.6623
2013-04-26,24.6681
2013-04-28,24.6796
2013-04-29,24.6855
2013-04-30,24.6913
2013-05-01,24.6971
2013-05-02,24.7029
2013-05-03,24.7088
2013-05-05,24.7203
2013-05-06,24.726
2013-05-07,24.7318
2013-05-08,24.7375
2013-05-09,24.7432
2013-05-10,24.7491
2013-05-12,24.7604
2013-05-13,24.7661
2013-05-14,24.7718
2013-05-15,24.7776
2013-05-16,24.7833
2013-05-17,24.7891
2013-05-19,24.8004
2013-05-20,24.8061
2013-05-21,24.8118
2013-05-22,24.8174
2013-05-23,24.823
2013-05-24,24.8285
2013-05-26,24.8398
2013-05-27,24.8455
2013-05-28,24.8511
2013-05-29,24.8568
2013-05-30,24.8624
2013-05-31,24.8679
2013-06-02,24.8791
2013-06-03,24.8847
2013-06-04,24.8903
2013-06-05,24.8958
2013-06-06,24.9014
2013-06-07,24.907
2013-06-09,24.9182
2013-06-10,24.9237
2013-06-11,24.9292
2013-06-12,24.9347
2013-06-13,24.9402
2013-06-14,24.9455
2013-06-16,24.9567
2013-06-17,24.9622
2013-06-18,24.9678
2013-06-19,24.9733
2013-06-20,24.9788
2013-06-21,24.9844
2013-06-23,24.9955
2013-06-24,25.0009
2013-06-25,25.0065
2013-06-26,25.0121
2013-06-27,25.0177
2013-06-28,25.0257
2013-07-01,25.0444
2013-07-02,25.0506
2013-07-03,25.0562
2013-07-04,25.0619
2013-07-05,25.0681
2013-07-07,25.0783
2013-07-08,25.0838
2013-07-09,25.0893
2013-07-10,25.0948
2013-07-11,25.1004
2013-07-12,25.1064
2013-07-14,25.117
2013-07-15,25.1225
2013-07-16,25.0654
2013-07-17,25.0747
2013-07-18,25.0859
2013-07-19,25.0951
2013-07-21,25.1088
2013-07-22,25.1157
2013-07-23,25.12
2013-07-24,25.0935
2013-07-25,25.1012
2013-07-26,25.109
2013-07-28,25.1236
2013-07-29,25.131
2013-07-30,25.1385
2013-07-31,25.146
2013-08-01,25.1536
2013-08-02,25.1607
2013-08-04,25.1748
2013-08-05,25.1832
2013-08-06,25.1904
2013-08-07,25.1974
2013-08-08,25.2051
2013-08-11,25.2278
2013-08-12,25.2342
2013-08-13,25.2414
2013-08-14,25.2486
2013-08-15,25.2559
2013-08-16,25.263
2013-08-18,25.2777
2013-08-19,25.2847
2013-08-20,25.2918
2013-08-21,25.2993
2013-08-22,25.3066
2013-08-23,25.3141
2013-08-25,25.3289
2013-08-26,25.3361
2013-08-27,25.3433
2013-08-28,25.3507
2013-08-29,25.3581
2013-08-30,25.3659
2013-09-01,25.3804
2013-09-02,25.3877
2013-09-03,25.3949
2013-09-04,25.403
2013-09-05,25.4121
2013-09-06,25.4198
2013-09-09,25.4408
2013-09-10,25.4483
2013-09-11,25.4558
2013-09-12,25.4632
2013-09-13,25.4707
2013-09-15,25.4852
2013-09-16,25.4927
2013-09-17,25.5003
2013-09-18,25.5079
2013-09-19,25.5168
2013-09-20,25.5251
2013-09-22,25.5398
2013-09-23,25.5472
2013-09-24,25.5544
2013-09-25,25.5616
2013-09-26,25.5691
2013-09-27,25.5767
2013-09-29,25.5911
2013-09-30,25.5987
2013-10-01,25.6067
2013-10-02,25.6141
2013-10-03,25.6214
2013-10-04,25.629
2013-10-06,25.6434
2013-10-07,25.6508
2013-10-08,25.6587
2013-10-09,25.6659
2013-10-10,25.673
2013-10-11,25.6801
2013-10-13,25.694
2013-10-14,25.7011
2013-10-15,25.7083
2013-10-16,25.7154
2013-10-17,25.7225
2013-10-18,25.7294
2013-10-20,25.743
2013-10-21,25.75
2013-10-22,25.757
2013-10-23,25.764
2013-10-24,25.771
2013-10-25,25.7779
2013-10-27,25.7917
2013-10-28,25.7986
2013-10-29,25.8056
2013-10-30,25.8127
2013-10-31,25.8195
2013-11-01,25.8264
2013-11-04,25.8466
2013-11-05,25.8532
2013-11-06,25.8599
2013-11-07,25.8666
2013-11-08,25.8733
2013-11-10,25.8867
2013-11-11,25.8933
2013-11-12,25.8999
2013-11-13,25.9068
2013-11-14,25.9133
2013-11-17,25.9329
2013-11-18,25.9394
2013-11-19,25.946
2013-11-20,25.9525
2013-11-21,25.9591
2013-11-22,25.9656
2013-11-24,25.9785
2013-11-25,25.985
2013-11-26,25.9914
2013-11-27,25.9979
2013-11-28,26.0044
2013-11-29,26.0108
2013-12-01,26.0236
2013-12-02,26.03
2013-12-03,26.0368
2013-12-04,26.0431
2013-12-05,26.0494
2013-12-06,26.0558
2013-12-08,26.0686
2013-12-09,26.0751
2013-12-10,26.0815
2013-12-11,26.0879
2013-12-12,26.0942
